"issueId","type","license","dependency","packageLocator","version","project","projectUrl","status","depth","details","usage","teams","teamGroups","policyName","scannedAt","analyzedAt","firstFoundAt","originPaths","directDependencies","paths"
"14742729","Flagged","LGPL-3.0-or-later","@img/sharp-libvips-linux-s390x","npm+@img/sharp-libvips-linux-s390x$1.0.4","1.0.4","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","3","Requires you to (effectively) disclose your source code if the library is statically linked to your project. Not triggered if dynamically linked or a separate process.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.888+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","node_characterai > sharp > @img/sharp-libvips-linux-s390x, node_characterai > sharp > @img/sharp-linux-s390x > @img/sharp-libvips-linux-s390x"
"14742757","Flagged","LGPL-3.0-or-later","@img/sharp-libvips-linux-x64","npm+@img/sharp-libvips-linux-x64$1.0.4","1.0.4","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","3","Requires you to (effectively) disclose your source code if the library is statically linked to your project. Not triggered if dynamically linked or a separate process.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.89+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","node_characterai > sharp > @img/sharp-libvips-linux-x64, node_characterai > sharp > @img/sharp-linux-x64 > @img/sharp-libvips-linux-x64"
"14742738","Flagged","LGPL-3.0-or-later","@img/sharp-wasm32","npm+@img/sharp-wasm32$0.33.5","0.33.5","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","3","Requires you to (effectively) disclose your source code if the library is statically linked to your project. Not triggered if dynamically linked or a separate process.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","node_characterai > sharp > @img/sharp-wasm32"
"14742746","Flagged","LGPL-3.0-or-later","@img/sharp-win32-ia32","npm+@img/sharp-win32-ia32$0.33.5","0.33.5","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","3","Requires you to (effectively) disclose your source code if the library is statically linked to your project. Not triggered if dynamically linked or a separate process.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","node_characterai > sharp > @img/sharp-win32-ia32"
"14742742","Flagged","LGPL-3.0-or-later","@img/sharp-win32-x64","npm+@img/sharp-win32-x64$0.33.5","0.33.5","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","3","Requires you to (effectively) disclose your source code if the library is statically linked to your project. Not triggered if dynamically linked or a separate process.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","node_characterai > sharp > @img/sharp-win32-x64"
"14742737","Flagged","GPL-2.0-with-classpath-exception","Jakarta Dependency Injection","mvn+jakarta.inject:jakarta.inject-api$2.0.1","2.0.1","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2","Safe to include or link in an executable provided that source availability/attribution requirements are followed.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > jakarta.inject:jakarta.inject-api"
"14742735","Flagged","EPL-2.0","Jakarta Dependency Injection","mvn+jakarta.inject:jakarta.inject-api$2.0.1","2.0.1","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2",,"transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > jakarta.inject:jakarta.inject-api"
"14742739","Flagged","EPL-2.0","jakarta.jakartaee-api","mvn+jakarta.platform:jakarta.jakartaee-api$9.1.0","9.1.0","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2",,"transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.889+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > jakarta.platform:jakarta.jakartaee-api"
"14742728","Flagged","EPL-2.0","jakarta.jakartaee-core-api","mvn+jakarta.platform:jakarta.jakartaee-core-api$11.0.0-M4","11.0.0-M4","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2",,"transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.888+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > jakarta.platform:jakarta.jakartaee-core-api"
"14742721","Flagged","GPL-2.0-with-classpath-exception","jakarta.jakartaee-core-api","mvn+jakarta.platform:jakarta.jakartaee-core-api$11.0.0-M4","11.0.0-M4","UniClass_Sustainable","https://app.fossa.com/projects/git%2Bgithub.com%2Flucageneroso%2FUniClass_Sustainable","active","2","Safe to include or link in an executable provided that source availability/attribution requirements are followed.","transitive","unassigned","unassigned","Standard Bundle Distribution","2026-01-20T16:58:50.888+00:00","2026-01-20T16:58:14.032Z","2026-01-20T11:12:11.902Z","[]","[]","it.unisa.uniclass:UniClass > jakarta.platform:jakarta.jakartaee-core-api"
